Theme,Intervention,Explicitness,Turn,DCS_mean,DCS_var,DCS_std,SIS_mean,SIS_var,SIS_std,HES_mean,HES_var,HES_std,N
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,4,1.567,0.254,0.504,,,,,,,30
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,5,1.933,0.064,0.254,,,,,,,30
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,6,1.7,0.217,0.466,,,,,,,30
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,7,2.0,0.0,0.0,0.0,0.0,0.0,1.733,0.34,0.583,30
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,8,1.9,0.093,0.305,0.0,0.0,0.0,1.733,0.271,0.521,30
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,9,1.833,0.144,0.379,0.0,0.0,0.0,1.967,0.033,0.183,30
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,10,1.667,0.23,0.479,0.0,0.0,0.0,1.367,0.516,0.718,30
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,11,1.933,0.064,0.254,0.033,0.033,0.183,1.633,0.516,0.718,30
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,12,0.0,0.0,0.0,0.967,0.033,0.183,0.0,0.0,0.0,30
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,4,0.5,0.328,0.572,,,,,,,30
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,5,0.867,0.12,0.346,,,,,,,30
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,6,0.933,0.202,0.45,,,,,,,30
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,7,0.133,0.189,0.434,0.233,0.185,0.43,0.533,0.671,0.819,30
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,8,0.367,0.378,0.615,0.167,0.144,0.379,0.4,0.593,0.77,30
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,9,0.7,0.355,0.596,0.0,0.0,0.0,0.567,0.668,0.817,30
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,10,0.1,0.162,0.403,0.5,0.259,0.509,0.0,0.0,0.0,30
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,11,0.2,0.303,0.551,0.3,0.217,0.466,0.067,0.133,0.365,30
