Theme,Intervention,Explicitness,Run_ID,DCS_Turn_4,DCS_Turn_5,DCS_Turn_6,DCS_Turn_7,DCS_Turn_8,DCS_Turn_9,DCS_Turn_10,DCS_Turn_11,DCS_Turn_12,HES_Turn_7,HES_Turn_8,HES_Turn_9,HES_Turn_10,HES_Turn_11,HES_Turn_12,SIS_Turn_7,SIS_Turn_8,SIS_Turn_9,SIS_Turn_10,SIS_Turn_11,SIS_Turn_12
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_001,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_002,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_003,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_004,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_005,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_006,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_007,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_008,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_009,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_010,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_011,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
