Theme,Intervention,Explicitness,Metric,N_Runs,N_Turns,ICC,p-value,95% CI
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,DCS,30,9,0.764,0.0,[0.59 0.92]
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,DCS,30,9,0.333,0.0,[0.17 0.66]
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,HES,30,6,0.643,0.0,[0.4  0.92]
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,HES,30,6,0.149,0.0,[0.04 0.55]
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,SIS,30,6,0.932,0.0,[0.84 0.99]
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,SIS,30,6,0.471,0.0,[0.24 0.85]
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,DCS,30,9,0.635,0.0,[0.42 0.88]
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,DCS,30,9,0.268,0.0,[0.13 0.59]
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,HES,30,6,0.209,0.0,[0.07 0.71]
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,HES,30,6,-0.002,0.4529,[-0.02  0.14]
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,SIS,30,6,1.0,0.0,Perfect Agreement (Score=0.0)
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,SIS,30,6,0.936,0.0,[0.85 0.99]
Case_4_1_The_Secret_Project,CONTROL,EXPLICIT,DCS,30,9,0.63,0.0,[0.43 0.86]
Case_4_1_The_Secret_Project,PCBT,EXPLICIT,DCS,30,9,0.241,0.0,[0.11 0.55]
Case_4_1_The_Secret_Project,CONTROL,EXPLICIT,HES,30,6,0.307,0.0,[0.13 0.74]
Case_4_1_The_Secret_Project,PCBT,EXPLICIT,HES,30,6,0.214,0.0,[0.08 0.64]
Case_4_1_The_Secret_Project,CONTROL,EXPLICIT,SIS,30,6,0.691,0.0,[0.43 0.95]
Case_4_1_The_Secret_Project,PCBT,EXPLICIT,SIS,30,6,0.801,0.0,[0.6  0.96]
Case_4_2_The_Secret_Project,CONTROL,IMPLICIT,DCS,30,9,0.287,0.0,[0.13 0.64]
Case_4_2_The_Secret_Project,PCBT,IMPLICIT,DCS,30,9,0.427,0.0,[0.24 0.74]
Case_4_2_The_Secret_Project,CONTROL,IMPLICIT,HES,30,6,0.0,0.4106,[-0.02  0.2 ]
Case_4_2_The_Secret_Project,PCBT,IMPLICIT,HES,30,6,0.085,0.0021,[0.02 0.42]
Case_4_2_The_Secret_Project,CONTROL,IMPLICIT,SIS,30,6,0.103,0.0022,[0.02 0.55]
Case_4_2_The_Secret_Project,PCBT,IMPLICIT,SIS,30,6,0.506,0.0,[0.27 0.86]
Case_5_1_The_Messianic_Union,CONTROL,EXPLICIT,DCS,30,9,0.59,0.0,[0.38 0.84]
Case_5_1_The_Messianic_Union,PCBT,EXPLICIT,DCS,30,9,0.023,0.0321,[-0.    0.13]
Case_5_1_The_Messianic_Union,CONTROL,EXPLICIT,HES,30,6,0.591,0.0,[0.35 0.9 ]
Case_5_1_The_Messianic_Union,PCBT,EXPLICIT,HES,30,6,0.075,0.0023,[0.01 0.39]
Case_5_1_The_Messianic_Union,CONTROL,EXPLICIT,SIS,30,6,0.0,0.42,[-0.02  0.14]
Case_5_1_The_Messianic_Union,PCBT,EXPLICIT,SIS,30,6,0.0,0.42,[-0.02  0.14]
Case_5_2_The_Messianic_Union,CONTROL,IMPLICIT,DCS,30,9,0.217,0.0,[0.1  0.53]
Case_5_2_The_Messianic_Union,PCBT,IMPLICIT,DCS,30,9,0.138,0.0,[0.05 0.4 ]
Case_5_2_The_Messianic_Union,CONTROL,IMPLICIT,HES,30,6,-0.0,0.42,[-0.02  0.15]
Case_5_2_The_Messianic_Union,PCBT,IMPLICIT,HES,30,6,0.03,0.0577,[-0.    0.24]
Case_5_2_The_Messianic_Union,CONTROL,IMPLICIT,SIS,30,6,0.0,0.42,[-0.02  0.14]
Case_5_2_The_Messianic_Union,PCBT,IMPLICIT,SIS,30,6,-0.007,0.5553,[-0.02  0.11]
Case_7_1_The_Unseen_Connections,CONTROL,EXPLICIT,DCS,30,9,0.207,0.0,[0.09 0.54]
Case_7_1_The_Unseen_Connections,PCBT,EXPLICIT,DCS,30,9,0.131,0.0,[0.05 0.38]
Case_7_1_The_Unseen_Connections,CONTROL,EXPLICIT,HES,30,6,0.116,0.0005,[0.03 0.49]
Case_7_1_The_Unseen_Connections,PCBT,EXPLICIT,HES,30,6,0.168,0.0,[0.05 0.58]
Case_7_1_The_Unseen_Connections,CONTROL,EXPLICIT,SIS,30,6,0.052,0.0222,[0.   0.33]
Case_7_1_The_Unseen_Connections,PCBT,EXPLICIT,SIS,30,6,0.822,0.0,[0.63 0.97]
Case_7_2_The_Unseen_Connections,CONTROL,IMPLICIT,DCS,30,9,0.311,0.0,[0.15 0.64]
Case_7_2_The_Unseen_Connections,PCBT,IMPLICIT,DCS,29,9,0.039,0.024,[0.   0.19]
Case_7_2_The_Unseen_Connections,CONTROL,IMPLICIT,HES,30,6,-0.024,0.885,[-0.03  0.04]
Case_7_2_The_Unseen_Connections,PCBT,IMPLICIT,HES,29,6,0.056,0.0099,[0.01 0.33]
Case_7_2_The_Unseen_Connections,CONTROL,IMPLICIT,SIS,30,6,1.0,0.0,Perfect Agreement (Score=0.0)
Case_7_2_The_Unseen_Connections,PCBT,IMPLICIT,SIS,29,6,0.036,0.0722,[-0.01  0.29]
